Nombre,emoji,Alegria,Amor,Sorpresa,Neutral,Verguenza,Aversion,Miedo,Tristeza,Colera
handshake:handshake:,🤝,30,10,0,100,0,0,0,0,0
thumbs up:thumbsup:,👍,90,20,0,40,0,0,0,0,0
thumbs down:thumbsdown:,👎,0,0,10,0,30,80,0,10,50
oncoming fist:punch:,👊,0,0,0,0,0,30,0,0,100
raised fist:fist:,✊ ,0,0,0,0,0,10,0,0,100
left-facing fist:left_facing_fist:,🤛,0,0,0,0,0,0,0,0,100
right-facing fist:right_facing_fist:,🤜,0,0,0,0,0,0,0,0,100
crossed fingers:fingers_crossed:, ✌,20,30,0,0,0,0,60,0,0
victory hand:v:,🤘 ,100,0,10,0,0,0,0,0,0
sign of the horns:metal:,🤘,100,60,0,0,0,0,0,0,0
OK hand:ok_hand:,👌,80,20,0,0,0,0,0,0,0
backhand index pointing left:point_left:,👈,0,0,0,100,0,10,0,0,0
backhand index pointing right:point_right:,👉,0,0,0,100,0,10,0,0,0
backhand index pointing up:point_up_2:,👆,0,0,0,100,0,0,0,0,0
backhand index pointing down:point_down:,👇,0,0,0,100,0,0,0,0,0
index pointing up:point_up:,☝,0,0,0,100,0,0,0,0,0
raised hand:raised_hand:,✋,0,0,0,100,0,0,0,0,0
raised back of hand:raised_back_of_hand:,🤚,0,0,0,100,0,0,0,0,0
raised hand with fingers splayed:hand_splayed:,🖐,0,0,0,100,0,0,0,0,0
vulcan salute:vulcan:,🖖,0,0,0,100,0,0,0,0,0
waving hand:wave:,👋,0,0,0,100,0,0,0,0,0
call me hand:call_me:,🤙,0,0,0,100,0,0,0,0,0
flexed biceps:muscle:,💪,20,0,0,0,0,0,0,0,0
middle finger:middle_finger:,🖕,0,0,0,0,0,0,0,0,100
eyes:eyes:,👀,0,0,100,0,0,0,0,0,0
woman facepalming:woman_facepalming:,🤦‍♀,0,0,0,0,100,100,0,80,0
man facepalming:man_facepalming:,🤦‍♂,0,0,0,0,100,100,0,80,0
man shrugging:man_shrugging:,🤷‍♂,0,0,0,100,0,0,0,0,0
woman shrugging:woman_shrugging:,🤷‍♀,0,0,0,100,0,0,0,0,0
person gesturing NO:person_gesturing_no:,🙅,0,0,0,0,0,100,0,0,0
red heart:heart:,❤,90,100,0,0,0,0,0,0,0
broken heart:broken_heart:,💔,0,0,0,0,0,0,0,100,0
fire:fire:,🔥,0,0,0,100,0,0,0,0,0
